h	h_name	h_in_db	t	t_name	t_in_db	relation	split
ENST00000449500		False	ENSG00000101152	DNAJC5	False		
ENST00000411579		False	ENSG00000101152	DNAJC5	False		
ENSG00000273619		False	ENSG00000101187	SLCO4A1	True		
ENSG00000273821		False	ENSG00000101203	COL20A1	False		
ENSG00000280213	UCKL1-AS1	False	ENSG00000101213	PTK6	False		
ENSG00000280213	UCKL1-AS1	False	ENSG00000101216	GMEB2	False		
ENSG00000229539	PANK2-AS1	False	ENSG00000101224	CDC25B	False		
ENSG00000229539	PANK2-AS1	False	ENSG00000101236	RNF24	False		
ENSG00000268858		False	ENSG00000101246	ARFRP1	True		
ENST00000449500		False	ENSG00000101246	ARFRP1	True		
ENST00000411579		False	ENSG00000101246	ARFRP1	True		
ENSG00000281376	ABALON	True	ENSG00000101294	HM13	False		
ENSG00000269846		False	ENSG00000101353	MROH8	False		
ENSG00000272688		False	ENSG00000101577	LPIN2	False		
ENSG00000272688		False	ENSG00000101596	SMCHD1	False		
ENSG00000177337	DLGAP1-AS1	True	ENSG00000101608	MYL12A	False		
ENSG00000265257		False	ENSG00000101745	ANKRD12	False		
ENSG00000232412	STAG2-AS1	False	ENSG00000101966	XIAP	True		
ENSG00000232412	STAG2-AS1	False	ENSG00000101972	STAG2	False		
ENSG00000280195		False	ENSG00000102119	EMD	False		
ENSG00000285018		False	ENSG00000102125	TAFAZZIN	True		
ENSG00000285018		False	ENSG00000102178	UBL4A	False		
ENSG00000280195		False	ENSG00000102178	UBL4A	False		
ENST00000456602		False	ENSG00000102471	NDFIP2	False		
ENST00000606584		False	ENSG00000102471	NDFIP2	False		
ENST00000606049		False	ENSG00000102471	NDFIP2	False		
ENST00000607864		False	ENSG00000102471	NDFIP2	False		
ENSG00000274904		False	ENSG00000102879	CORO1A	False		
ENSG00000250616	YPEL3-DT	False	ENSG00000102882	MAPK3	True		
ENSG00000263126		False	ENSG00000102898	NUTF2	False		
ENSG00000261469		False	ENSG00000102898	NUTF2	False		
ENSG00000263126		False	ENSG00000102901	CENPT	False		
ENSG00000261469		False	ENSG00000102901	CENPT	False		
ENSG00000262136	NQO1-DT	False	ENSG00000102908	NFAT5	True		
ENSG00000276259		False	ENSG00000103037	SETD6	False		
ENSG00000279649		False	ENSG00000103064	SLC7A6	False		
ENSG00000260018	MBTPS1-DT	False	ENSG00000103160	HSDL1	False		
ENST00000563192		False	ENSG00000103197	TSC2	False		
ENSG00000277142	LINC00235	False	ENSG00000103266	STUB1	False		
ENST00000561649		False	ENSG00000103275	UBE2I	True		
ENSG00000260394	STUB1-DT	False	ENSG00000103326	CAPN15	False		
ENSG00000278341		False	ENSG00000103335	PIEZO1	False		
ENSG00000279583		False	ENSG00000103495	MAZ	False		
ENSG00000279196		False	ENSG00000103496	STX4	False		
ENSG00000280607		False	ENSG00000103502	CDIPT	False		
ENSG00000275857		False	ENSG00000103502	CDIPT	False		
ENSG00000259952		False	ENSG00000103502	CDIPT	False		
ENSG00000260060		False	ENSG00000103510	KAT8	False		
ENSG00000279196		False	ENSG00000103510	KAT8	False		
ENSG00000261427		False	ENSG00000103528	SYT17	False		
ENSG00000260899		False	ENSG00000103549	RNF40	False		
ENSG00000260083	MIR762HG	False	ENSG00000103549	RNF40	False		
ENSG00000260852	FBXL19-AS1	True	ENSG00000103549	RNF40	False		
ENSG00000261840		False	ENSG00000103549	RNF40	False		
ENST00000544685		False	ENSG00000103723	AP3B2	False		
ENST00000558687		False	ENSG00000103723	AP3B2	False		
ENSG00000271983		False	ENSG00000103888	CEMIP	True		
ENSG00000277782		False	ENSG00000103888	CEMIP	True		
ENST00000544685		False	ENSG00000103942	HOMER2	False		
ENST00000558687		False	ENSG00000103942	HOMER2	False		
ENST00000499624		False	ENSG00000104043	ATP8B4	False		
ENST00000561289		False	ENSG00000104043	ATP8B4	False		
ENST00000499326		False	ENSG00000104043	ATP8B4	False		
ENST00000558593		False	ENSG00000104043	ATP8B4	False		
ENST00000503052		False	ENSG00000104140	RHOV	False		
ENSG00000275709		False	ENSG00000104154	SLC30A4	False		
ENSG00000275709		False	ENSG00000104164	BLOC1S6	False		
ENSG00000245910	SNHG6	True	ENSG00000104205	SGK3	False		
ENSG00000259891		False	ENSG00000104472	CHRAC1	True		
ENSG00000280303	ERICD	True	ENSG00000104472	CHRAC1	True		
ENST00000524808		False	ENSG00000104522	GFUS	False		
ENST00000533004		False	ENSG00000104522	GFUS	False		
ENSG00000272256		False	ENSG00000104660	LEPROTL1	False		
ENSG00000272256		False	ENSG00000104671	DCTN6	True		
ENSG00000273189		False	ENSG00000104872	PIH1D1	False		
ENSG00000267395	DM1-AS	False	ENSG00000104941	RSPH6A	False		
ENSG00000268006	PTOV1-AS1	False	ENSG00000104973	MED25	False		
ENSG00000267519	MIR23AHG	False	ENSG00000104979	C19orf53	False		
ENSG00000267783		False	ENSG00000105011	ASF1B	False		
ENSG00000267379		False	ENSG00000105011	ASF1B	False		
ENSG00000279198		False	ENSG00000105058	FAM32A	False		
ENST00000585911		False	ENSG00000105063	PPP6R1	False		
ENSG00000269399		False	ENSG00000105072	C19orf44	False		
ENSG00000279529		False	ENSG00000105085	MED26	False		
ENST00000592431		False	ENSG00000105186	ANKRD27	False		
TCONS_00027385		False	ENSG00000105321	CCDC9	False		
ENSG00000274425		False	ENSG00000105376	ICAM5	False		
ENSG00000267607	ICAM4-AS1	False	ENSG00000105376	ICAM5	False		
ENSG00000277383		False	ENSG00000105402	NAPA	False		
ENSG00000279539		False	ENSG00000105429	MEGF8	False		
ENSG00000269814		False	ENSG00000105443	CYTH2	False		
ENSG00000267827		False	ENSG00000105568	PPP2R1A	False		
ENSG00000269303	GRAMD1A-AS1	False	ENSG00000105699	LSR	False		
ENSG00000269303	GRAMD1A-AS1	False	ENSG00000105707	HPN	False		
ENSG00000269303	GRAMD1A-AS1	False	ENSG00000105711	SCN1B	False		
ENSG00000272854		False	ENSG00000105865	DUS4L	False		
ENSG00000241764	CBLL1-AS1	False	ENSG00000105865	DUS4L	False		
ENSG00000224903	RNF32-AS1	False	ENSG00000105982	RNF32	False		
ENSG00000227014	FKBP14-AS1	False	ENSG00000106080	FKBP14	False		
ENSG00000227014	FKBP14-AS1	False	ENSG00000106086	PLEKHA8	False		
TCONS_00013943		False	ENSG00000106299	WASL	False		
ENSG00000271185		False	ENSG00000106443	PHF14	True		
ENSG00000273314		False	ENSG00000106462	EZH2	True		
ENSG00000259920		False	ENSG00000106477	CEP41	False		
ENSG00000270823		False	ENSG00000106484	MEST	False		
ENST00000448674		False	ENSG00000106948	AKNA	False		
ENSG00000232850	PTGES2-AS1	False	ENSG00000106976	DNM1	False		
ENSG00000180539	LINC02908	False	ENSG00000107281	NPDC1	False		
ENSG00000285871		False	ENSG00000107625	DDX50	False		
ENSG00000273476		False	ENSG00000107815	TWNK	False		
ENSG00000272572		False	ENSG00000107816	LZTS2	False		
ENSG00000273476		False	ENSG00000107816	LZTS2	False		
ENST00000492465		False	ENSG00000107872	FBXL15	False		
ENSG00000272933	TRIM8-DT	False	ENSG00000107872	FBXL15	False		
